Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
650 Columbus Ave #434, 650 Columbus Ave #434, 02118, Boston, MA, 42.33859, -71.08312, 3300, FOR_RENT, APARTMENT, 440330719, 720, 1, 1, # 434, 6, 7, 3200409000, true, false, -1, false
8 Winter St #1103, 8 Winter St #1103, 02108, Boston, MA, 42.35552, -71.06166, 3200, FOR_RENT, APARTMENT, 2058145112, 608, 1, 1, # 1103, 10, 3, 4057882000, true, false, -1, false
475 Shawmut Ave APT 2, 475 Shawmut Ave APT 2, 02118, Boston, MA, 42.338947, -71.07589, 3500, FOR_RENT, APARTMENT, 2079157994, 950, 2, 1, Apt 2, 2, 5, 351695000, true, false, -1, false
780 William T Morrissey Blvd #1B-1BA-644SQFT, 780 William T Morrissey Blvd #1B-1BA-644SQFT, 02122, Dorchester, MA, 42.295498, -71.046715, 3158, FOR_RENT, APARTMENT, 439777838, 644, 1, 1, # 1B-1Ba-644Sqft, 10, 1, 4477663000, true, false, -1, false
1079 Commonwealth Ave APT 532, 1079 Commonwealth Ave APT 532, 02215, Boston, MA, 42.352787, -71.12451, 4700, FOR_RENT, APARTMENT, 440956161, 1660, 3, 2, Apt 532, 10, 6, 1646314000, true, false, -1, false
130-140 Bowdoin St #1106, 130-140 Bowdoin St #1106, 02108, Boston, MA, 42.35862, -71.06247, 3000, FOR_RENT, APARTMENT, 2054752511, 570, 1, 1, # 1106, 4, 4, 11952204000, true, false, -1, false
1482 Tremont St #305, 1482 Tremont St #305, 02120, Roxbury Crossing, MA, 42.33176, -71.09868, 4566, FOR_RENT, APARTMENT, 2053079409, 948, 2, 1, # 305, 5, 9, 8874716000, true, false, -1, false
43 Smith St #S024C, 43 Smith St #S024C, 02120, Roxbury Crossing, MA, 42.333973, -71.09865, 5400, FOR_RENT, APARTMENT, 439928634, 1444, 3, 2, # S024C, 8, 2, 4057841000, true, false, -1, false
106 Tremont St #116001, 106 Tremont St #116001, 02135, Brighton, MA, 42.350887, -71.1733, 2895, FOR_RENT, APARTMENT, 402689450, 1000, 2, 1, # 116001, 10, 6, 7079129000, true, false, -1, false
160 E Berkeley St APT 515, 160 E Berkeley St APT 515, 02118, Boston, MA, 42.34383, -71.06467, 5400, FOR_RENT, APARTMENT, 2126266428, 1200, 3, 1, Apt 515, 4, 8, 4936586000, true, false, -1, false
40 Malvern St #502, 40 Malvern St #502, 02134, Allston, MA, 42.354015, -71.12504, 4150, FOR_RENT, APARTMENT, 2072797408, 840, 2, 2, # 502, 1, 4, 4238083000, true, false, -1, false
56-58 Selkirk Rd #56-2, 56-58 Selkirk Rd #56-2, 02135, Brighton, MA, 42.33929, -71.149704, 2700, FOR_RENT, APARTMENT, 441843002, 860, 2, 1, # 56-2, 9, 8, 276960000, true, false, -1, false
36 Quint Ave APT 3, 36 Quint Ave APT 3, 02134, Allston, MA, 42.352024, -71.13385, 2495, FOR_RENT, APARTMENT, 2106495376, undefined, 1, 1, Apt 3, 5, 3, 9923059000, true, false, -1, false
99 Border St #310, 99 Border St #310, 02128, Boston, MA, 42.372364, -71.041245, 3150, FOR_RENT, APARTMENT, 439487695, 835, 2, 1, # 310, 1, 2, 5005729000, true, false, -1, false
223 Harvard Ave APT 8, 223 Harvard Ave APT 8, 02134, Allston, MA, 42.349262, -71.13053, 3400, FOR_RENT, APARTMENT, 59086562, 1000, 2, 1, Apt 8, 2, 5, 12945796000, true, false, -1, false
80 Fuller St #FDAF547CA, 80 Fuller St #FDAF547CA, 02124, Dorchester Center, MA, 42.28238, -71.06918, 4500, FOR_RENT, APARTMENT, 350771339, 1300, 3, 2, # fdaf547ca, 1, 8, 12956536000, true, false, -1, false
9 Gardner Ter #150454, 9 Gardner Ter #150454, 02134, Allston, MA, 42.35294, -71.1261, 4200, FOR_RENT, APARTMENT, 2076974112, 2000, 3, 2, # 150454, 4, 6, 10458751000, true, false, -1, false
16 Highgate St #303, 16 Highgate St #303, 02134, Allston, MA, 42.35538, -71.131615, 3895, FOR_RENT, APARTMENT, 2059263526, 845, 2, 2, # 303, 4, 10, 2928786000, true, false, -1, false
917 Bennington St #206, 917 Bennington St #206, 02128, Boston, MA, 42.385426, -71.00984, 3200, FOR_RENT, APARTMENT, 2071232908, 1196, 2, 2, # 206, 7, 4, 6537654000, true, false, -1, false
