Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
1455 Beacon St APT 35, 1455 Beacon St APT 35, 02446, Brookline, MA, 42.339996, -71.127304, 3800, FOR_RENT, APARTMENT, 2090519521, undefined, 1, 1, Apt 35, 9, 6, 3302369000, true, false, -1, false
1401 Beacon St #913669801, 1401 Beacon St #913669801, 02446, Brookline, MA, 42.340836, -71.12465, 2650, FOR_RENT, APARTMENT, 2097462724, undefined, 1, 1, # 913669801, 10, 5, 3212296000, true, false, -1, false
40-46 Harvard Ave, 40-46 Harvard Ave, 02446, Brookline, MA, 42.335865, -71.12327, 2785, FOR_RENT, APARTMENT, 295169419, 700, 1, 1, , 10, 3, 2547954000, true, false, -1, false
20 Chapel St APT A1003, 20 Chapel St APT A1003, 02446, Brookline, MA, 42.341503, -71.11172, 3995, FOR_RENT, APARTMENT, 82167367, 780, 1, 1, Apt A1003, 2, 9, 6230357000, true, false, -1, false
1465 Beacon St #14, 1465 Beacon St #14, 02446, Brookline, MA, 42.34011, -71.127945, 3000, FOR_RENT, APARTMENT, 441824414, 760, 1, 1, # 14, 4, 4, 370699000, true, false, -1, false
184 Saint Paul St #3, 184 Saint Paul St #3, 02446, Brookline, MA, 42.343987, -71.11736, 7300, FOR_RENT, APARTMENT, 2082104039, undefined, 5, 2, # 3, 8, 7, 1130132000, true, false, -1, false
33 Stearns Rd APT 1, 33 Stearns Rd APT 1, 02446, Brookline, MA, 42.34003, -71.119064, 4300, FOR_RENT, APARTMENT, 2107108731, 1400, 3, 1, Apt 1, 6, 4, 3989227000, true, false, -1, false
176 Freeman St #917, 176 Freeman St #917, 02446, Brookline, MA, 42.347374, -71.11731, 3800, FOR_RENT, APARTMENT, 2112574047, 9999, 2, 2, # 917, 2, 8, 25671664000, true, false, -1, false
37 Vernon St #303, 37 Vernon St #303, 02446, Brookline, MA, 42.339046, -71.123276, 3431, FOR_RENT, APARTMENT, 2058029294, 850, 2, 1, # 303, 10, 8, 3915655000, true, false, -1, false
42 Williams St #204, 42 Williams St #204, 02446, Brookline, MA, 42.343227, -71.12642, 3450, FOR_RENT, APARTMENT, 348333149, 800, 2, 1, # 204, 8, 10, 15653968000, true, false, -1, false
1680A Beacon St #2, 1680A Beacon St #2, 02445, Brookline, MA, 42.339077, -71.137924, 4200, FOR_RENT, APARTMENT, 440046328, 1140, 2, 2, # 2, 8, 8, 2968604000, true, false, -1, false
19 Englewood Ave APT 7, 19 Englewood Ave APT 7, 02445, Brookline, MA, 42.338512, -71.14539, 2750, FOR_RENT, APARTMENT, 56564184, 972, 2, 1, Apt 7, 6, 10, 380079000, true, false, -1, false
1791 Beacon St #2, 1791 Beacon St #2, 02445, Brookline, MA, 42.33721, -71.1427, 3350, FOR_RENT, APARTMENT, 352407720, 999, 2, 1, # 2, 7, 2, 10659466000, true, false, -1, false
1910 Beacon St #1, 1910 Beacon St #1, 02445, Brookline, MA, 42.336884, -71.14752, 6200, FOR_RENT, APARTMENT, 2088725313, 9999, 5, 2, # 1, 2, 4, 6509092000, true, false, -1, false
