Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
1 Whittemore Ave UNIT 218, 1 Whittemore Ave UNIT 218, 02140, Cambridge, MA, 42.39834, -71.13402, 4872, FOR_RENT, APARTMENT, 347600911, 1268, 3, 2, Unit 218, 4, 2, 388357000, true, false, -1, false
375 Harvard St APT 17A, 375 Harvard St APT 17A, 02138, Cambridge, MA, 42.372055, -71.11215, 2900, FOR_RENT, APARTMENT, 2080594178, 750, 2, 1, Apt 17A, 1, 2, 1304920000, true, false, -1, false
120 Rindge Ave #12430, 120 Rindge Ave #12430, 02140, Cambridge, MA, 42.392643, -71.12987, 4000, FOR_RENT, APARTMENT, 2077664826, 849, 2, 2, # 12430, 6, 2, 1586040000, true, false, -1, false
292 Harvard St #9-6, 292 Harvard St #9-6, 02139, Cambridge, MA, 42.369453, -71.105255, 4295, FOR_RENT, APARTMENT, 405231714, 1000, 3, 1, # 9-6, 1, 1, 6852093000, true, false, -1, false
258 Harvard St #266-6, 258 Harvard St #266-6, 02139, Cambridge, MA, 42.36827, -71.10199, 3300, FOR_RENT, APARTMENT, 404746001, 620, 2, 1, # 266-6, 4, 10, 6867693000, true, false, -1, false
110 2nd St UNIT 107, 110 2nd St UNIT 107, 02141, Cambridge, MA, 42.367764, -71.07921, 3900, FOR_RENT, APARTMENT, 2127577590, 1132, 2, 2, Unit 107, 4, 7, 114400000, true, false, -1, false
19-21 Wendell St #21-06, 19-21 Wendell St #21-06, 02138, Cambridge, MA, 42.381756, -71.11781, 3050, FOR_RENT, APARTMENT, 2079519605, 543, 1, 1, # 21-06, 7, 7, 3239855000, true, false, -1, false
194 Prospect St #2, 194 Prospect St #2, 02139, Cambridge, MA, 42.36983, -71.10043, 4500, FOR_RENT, APARTMENT, 67302125, 1302, 2, 2, # 2, 4, 9, 27298000, true, false, -1, false
40 Gibson St #5D, 40 Gibson St #5D, 02138, Cambridge, MA, 42.375954, -71.13269, 3000, FOR_RENT, APARTMENT, 2055335960, 675, 1, 1, # 5D, 1, 6, 198540000, true, false, -1, false
171 River St #3, 171 River St #3, 02139, Cambridge, MA, 42.363747, -71.110085, 6950, FOR_RENT, APARTMENT, 2069568871, 1400, 4, 3, # 3, 2, 6, 105536000, true, false, -1, false
811 Somerville Ave #3, 811 Somerville Ave #3, 02143, Somerville, MA, 42.388107, -71.11788, 3800, FOR_RENT, APARTMENT, 441834000, 1201, 3, 1, # 3, 4, 7, 349677000, true, false, -1, false
183 River St #2C, 183 River St #2C, 02139, Cambridge, MA, 42.363564, -71.11042, 6250, FOR_RENT, APARTMENT, 2065531248, undefined, 5, 2, # 2C, 5, 5, 19038967000, true, false, -1, false
147 Columbia St #33L, 147 Columbia St #33L, 02139, Cambridge, MA, 42.36685, -71.09804, 4600, FOR_RENT, APARTMENT, 343862290, undefined, 3, 1, # 33L, 8, 1, 19723262000, true, false, -1, false
173-175 Rindge Ave #1R, 173-175 Rindge Ave #1R, 02140, Cambridge, MA, 42.393055, -71.129295, 5000, FOR_RENT, APARTMENT, 352357815, undefined, 3, 2, # 1R, 5, 6, 10742328000, true, false, -1, false
384 Harvard St #1, 384 Harvard St #1, 02138, Cambridge, MA, 42.371693, -71.11329, 9900, FOR_RENT, APARTMENT, 2079277120, 1600, 3, 4, # 1, 5, 4, 2935621000, true, false, -1, false
25 Magoun St #3, 25 Magoun St #3, 02140, Cambridge, MA, 42.39979, -71.13548, 3500, FOR_RENT, APARTMENT, 345421026, 1197, 3, 1, # 3, 5, 2, 2328453000, true, false, -1, false
214 Banks St #12, 214 Banks St #12, 02138, Cambridge, MA, 42.365864, -71.11483, 2500, FOR_RENT, APARTMENT, 400849842, 450, 0, 1, # 12, 4, 5, 8233191000, true, false, -1, false
15-A Suffolk St #1, 15-A Suffolk St #1, 02139, Cambridge, MA, 42.366234, -71.09938, 2900, FOR_RENT, APARTMENT, 441206520, 950, 2, 2, # 1, 4, 7, 1400046000, true, false, -1, false
23 Lambert St UNIT 1F, 23 Lambert St UNIT 1F, 02141, Cambridge, MA, 42.372353, -71.086945, 2900, FOR_RENT, APARTMENT, 342055146, 550, 1, 1, Unit 1F, 10, 4, 20476455000, true, false, -1, false
15 Harding St #1, 15 Harding St #1, 02141, Cambridge, MA, 42.372986, -71.090706, 3850, FOR_RENT, APARTMENT, 2099393270, 850, 3, 2, # 1, 4, 8, 4516542000, true, false, -1, false
54 John F Kennedy St SUITE 4, 54 John F Kennedy St SUITE 4, 02138, Cambridge, MA, 42.37188, -71.12043, 6700, FOR_RENT, APARTMENT, 351995857, 1600, 3, 3, Suite 4, 9, 8, 2970576000, true, false, -1, false
524 Putnam Ave #2R, 524 Putnam Ave #2R, 02139, Cambridge, MA, 42.357906, -71.10858, 2600, FOR_RENT, APARTMENT, 2058040495, 500, 1, 1, # 2R, 9, 6, 12342915000, true, false, -1, false
12 Watson St #B, 12 Watson St #B, 02139, Cambridge, MA, 42.361908, -71.10432, 7500, FOR_RENT, APARTMENT, 441726200, 2076, 4, 4, # B, 9, 1, 879218000, true, false, -1, false
5 Herbert St, 5 Herbert St, 02140, Cambridge, MA, 42.388294, -71.12393, 2600, FOR_RENT, APARTMENT, 441824346, 1000, 2, 1, , 6, 4, 371600000, true, false, -1, false
222 Banks St #2, 222 Banks St #2, 02138, Cambridge, MA, 42.365658, -71.114655, 2250, FOR_RENT, APARTMENT, 2065573504, 400, 0, 1, # 2, 4, 10, 3988827000, true, false, -1, false
885 Mass Ave #312, 885 Mass Ave #312, 02139, Cambridge, MA, 42.367947, -71.10789, 3200, FOR_RENT, APARTMENT, 350528736, undefined, 2, 1, # 312, 5, 1, 13054338000, true, false, -1, false
9 Fairfield St #2LL, 9 Fairfield St #2LL, 02140, Cambridge, MA, 42.392178, -71.12622, 3999, FOR_RENT, APARTMENT, 2058435703, 1200, 3, 2, # 2LL, 1, 10, 20551465000, true, false, -1, false
64 Grozier Rd, 64 Grozier Rd, 02138, Cambridge, MA, 42.37942, -71.14229, 10500, FOR_RENT, APARTMENT, 2094313680, 2658, 4, 3, , 6, 1, 2956338000, true, false, -1, false
49 Whittemore Ave #3, 49 Whittemore Ave #3, 02140, Cambridge, MA, 42.39878, -71.13657, 4087, FOR_RENT, APARTMENT, 348392270, 1300, 2, 2, # 3, 3, 3, 2800645000, true, false, -1, false
53 Market St #2, 53 Market St #2, 02139, Cambridge, MA, 42.369007, -71.096954, 2450, FOR_RENT, APARTMENT, 2063457101, 9999, 1, 1, # 2, 8, 1, 3390660000, true, false, -1, false
413-415 Washington St UNIT 1F, 413-415 Washington St UNIT 1F, 02139, Cambridge, MA, 42.36512, -71.0975, 5400, FOR_RENT, APARTMENT, 343995373, 999, 3, 2, Unit 1F, 7, 9, 19594292000, true, false, -1, false
266 Harvard St APT 6, 266 Harvard St APT 6, 02139, Cambridge, MA, 42.368347, -71.103165, 3300, FOR_RENT, APARTMENT, 2124170507, 750, 2, 1, Apt 6, 5, 2, 2625582000, true, false, -1, false
21 Kenwood St #2, 21 Kenwood St #2, 02139, Cambridge, MA, 42.360447, -71.1112, 3350, FOR_RENT, APARTMENT, 2102243233, 1000, 2, 1, # 2, 5, 5, 965936000, true, false, -1, false
172 Fayerweather St #2, 172 Fayerweather St #2, 02138, Cambridge, MA, 42.385303, -71.134865, 3499, FOR_RENT, APARTMENT, 56440972, 1115, 3, 1, # 2, 1, 2, 1636697000, true, false, -1, false
21 Brookline St UNIT 411, 21 Brookline St UNIT 411, 02139, Cambridge, MA, 42.363262, -71.1022, 3000, FOR_RENT, APARTMENT, 2096737332, 909, 2, 1, Unit 411, 2, 4, 1038102000, true, false, -1, false
30 Winter St #1, 30 Winter St #1, 02141, Cambridge, MA, 42.37242, -71.08083, 3650, FOR_RENT, APARTMENT, 2057509557, 762, 2, 2, # 1, 1, 4, 1022419000, true, false, -1, false
27 Portsmouth St #2, 27 Portsmouth St #2, 02141, Cambridge, MA, 42.3685, -71.09362, 3300, FOR_RENT, APARTMENT, 2089647335, 750, 2, 1, # 2, 8, 10, 2971442000, true, false, -1, false
883 Massachusetts Ave #12, 883 Massachusetts Ave #12, 02139, Cambridge, MA, 42.367912, -71.10782, 3000, FOR_RENT, APARTMENT, 350374709, undefined, 2, 1, # 12, 1, 10, 13245521000, true, false, -1, false
386 Harvard St #7, 386 Harvard St #7, 02138, Cambridge, MA, 42.371696, -71.113304, 9000, FOR_RENT, APARTMENT, 401902223, 2300, 3, 4, # 7, 10, 4, 7800404000, true, false, -1, false
57 Hurley St UNIT 2, 57 Hurley St UNIT 2, 02141, Cambridge, MA, 42.36824, -71.079094, 3500, FOR_RENT, APARTMENT, 331592442, 750, 2, 1, Unit 2, 10, 9, 2196790000, true, false, -1, false
1 Fayette St APT 1, 1 Fayette St APT 1, 02139, Cambridge, MA, 42.371105, -71.10459, 2700, FOR_RENT, APARTMENT, 2105952561, 771, 1, 1, Apt 1, 4, 9, 2350564000, true, false, -1, false
