Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
3 Parley Vale APT 2, 3 Parley Vale APT 2, 02130, Jamaica Plain, MA, 42.314888, -71.111984, 1075000, FOR_SALE, CONDO, 59132990, 1699, 3, 2, Apt 2, 6, 3, 413619000, true, false, -1, false
77 West St, 77 West St, 02136, Hyde Park, MA, 42.2598, -71.11894, 715000, FOR_SALE, SINGLE_FAMILY, 59126480, 2086, 4, 2, , 5, 2, 413619000, true, false, -1, false
16 Mosgrove Ave, 16 Mosgrove Ave, 02131, Roslindale, MA, 42.291996, -71.12314, 799900, FOR_SALE, SINGLE_FAMILY, 59144887, 1494, 4, 2, , 4, 8, 586419000, true, false, -1, false
50-56 Broadlawn Park APT 105, 50-56 Broadlawn Park APT 105, 02467, Chestnut Hill, MA, 42.302517, -71.164116, 489000, FOR_SALE, CONDO, 59154930, 1164, 2, 2, Apt 105, 6, 2, 932019000, true, false, -1, false
375 Baker St, 375 Baker St, 02132, West Roxbury, MA, 42.282684, -71.16898, 899000, FOR_SALE, SINGLE_FAMILY, 59158722, 1449, 3, 2, , 9, 7, 500019000, true, false, -1, false
168 Newton St APT 5, 168 Newton St APT 5, 02135, Brighton, MA, 42.355656, -71.168785, 589000, FOR_SALE, CONDO, 71505274, 1053, 3, 2, Apt 5, 3, 8, 932019000, true, false, -1, false
14 Clarendon St APT 402, 14 Clarendon St APT 402, 02116, Boston, MA, 42.344597, -71.07243, 1449000, FOR_SALE, CONDO, 59165079, 1074, 3, 2, Apt 402, 3, 3, 1018419000, true, false, -1, true
4 Gloucester St, 4 Gloucester St, 02115, Boston, MA, 42.3514, -71.08547, 19995000, FOR_SALE, SINGLE_FAMILY, 63711261, 9924, 7, 8, , 1, 1, 2055219000, true, false, -1, false
177 Cowper St, 177 Cowper St, 02128, East Boston, MA, 42.38197, -71.01343, 400000, FOR_SALE, SINGLE_FAMILY, 59120903, 1120, 3, 1, , 10, 10, 1018419000, true, false, -1, false
11 Chestnut St, 11 Chestnut St, 02108, Boston, MA, 42.357876, -71.06675, 9200000, FOR_SALE, SINGLE_FAMILY, 59174917, 6596, 4, 6, , 6, 3, 16829619000, true, false, -1, false
59 Lanark Rd APT 9, 59 Lanark Rd APT 9, 02135, Brighton, MA, 42.340054, -71.14646, 499000, FOR_SALE, CONDO, 59089684, 767, 2, 1, Apt 9, 3, 8, 413619000, true, false, -1, false
36 Mount Ida Rd #3, 36 Mount Ida Rd #3, 02122, Dorchester, MA, 42.305862, -71.06466, 354500, FOR_SALE, CONDO, 59102345, 1320, 3, 1, # 3, 4, 10, 586419000, true, false, -1, false
63 Gould St, 63 Gould St, 02132, West Roxbury, MA, 42.271088, -71.16767, 649900, FOR_SALE, SINGLE_FAMILY, 59159977, 1168, 2, 1, , 2, 5, 327219000, true, false, -1, false
18 Gloria Rd, 18 Gloria Rd, 02132, West Roxbury, MA, 42.28742, -71.14477, 899000, FOR_SALE, SINGLE_FAMILY, 59154301, 2216, 3, 2, , 2, 8, 413619000, true, false, -1, false
46 Perham St, 46 Perham St, 02132, West Roxbury, MA, 42.281574, -71.1629, 849900, FOR_SALE, SINGLE_FAMILY, 59158158, 1439, 4, 2, , 6, 10, 500019000, true, false, -1, false
59 Hemlock Rd, 59 Hemlock Rd, 02132, West Roxbury, MA, 42.270046, -71.17141, 600000, FOR_SALE, SINGLE_FAMILY, 59160487, 892, 2, 2, , 1, 9, 5770419000, true, false, -1, true
30-32 Goodrich Rd, 30-32 Goodrich Rd, 02130, Jamaica Plain, MA, 42.315983, -71.115906, 1695000, FOR_SALE, MULTI_FAMILY, 190013487, 4340, 6, 3, , 9, 2, 327219000, true, false, -1, false
21 Auburn St, 21 Auburn St, 02129, Charlestown, MA, 42.38093, -71.06919, 1640000, FOR_SALE, SINGLE_FAMILY, 59100273, 1683, 3, 2, , 1, 2, 1018419000, true, false, -1, false
5 Northdale Ter, 5 Northdale Ter, 02132, West Roxbury, MA, 42.268932, -71.16714, 765000, FOR_SALE, SINGLE_FAMILY, 59161589, 1785, 4, 2, , 4, 1, 413619000, true, false, -1, false
47 Harvard St #PS104, 47 Harvard St #PS104, 02129, Charlestown, MA, 42.37344, -71.06301, 175000, FOR_SALE, CONDO, 441824749, 153, 0, 0, # PS104, 5, 3, 413619000, true, false, -1, false
27 Ainsworth St, 27 Ainsworth St, 02131, Roslindale, MA, 42.288795, -71.140045, 1149000, FOR_SALE, MULTI_FAMILY, 59212997, 3420, 6, 3, , 9, 6, 413619000, true, false, -1, false
